model_slug,score,source,source_url,evaluated_at,notes
nemotron-3-ultra-550b-a55b,82,self-reported,https://developer.nvidia.com/blog/nvidia-nemotron-3-ultra-powers-faster-more-efficient-reasoning-for-long-running-agents/,,Instruction following
openpangu-2-0-flash-non-thinking,54.4,self-reported,https://huggingface.co/openpangu/openPangu-2.0-Flash/blob/main/README_EN.md,,Non-Thinking mode
openpangu-2-0-flash-thinking,79.6,self-reported,https://huggingface.co/openpangu/openPangu-2.0-Flash/blob/main/README_EN.md,,"Prompt-level strict, Thinking mode"
qwen3-5-122b-a10b,76.1,self-reported,https://huggingface.co/Qwen/Qwen3.5-122B-A10B,,Instruction Following category.
qwen3-5-omni-flash,38.4,self-reported,https://qwen.ai/blog?id=qwen3.5-omni,2026-04-17,"Table 4 (Text→Text), Instruction Following section. Confirmed identical in arXiv:2604.15804 Table 4."
qwen3-5-omni-plus,52.6,self-reported,https://arxiv.org/abs/2604.15804,2026-04-21,"Table 4 (Text→Text), Qwen3.5-Omni-Plus column, cell S5.T4.3.9.4 (bold/best score in that row)."
qwen3-5-plus,51.1,self-reported,https://qwen.ai/blog?id=qwen3.5-omni,,Qwen3.5-Plus-NoThinking
trinity-large-thinking,52.3,self-reported,https://huggingface.co/arcee-ai/Trinity-Large-Thinking,,
