model_slug,score,source,source_url,evaluated_at,notes
claude-opus-5,58.6,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/,2026-09-02,"Vals Finance Agent v2, Claude Opus 5 column of Google's Gemini 3.8 Flash launch table."
gemini-3-7-flash,59,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/,2026-09-02,"Vals Finance Agent v2, 3.7 Flash baseline column of Google's Gemini 3.8 Flash launch table."
gemini-3-8-flash,61.4,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/,2026-09-02,"Vals Finance Agent v2, Google's launch table; best in row ahead of Claude Opus 5 (58.6) and GPT-5.6 Sol (53.8)."
gpt-5-6-sol,53.8,self-reported,https://blog.google/innovation-and-ai/models-and-research/gemini-models/3-8-flash-and-3-8-flash-cyber/,2026-09-02,"Vals Finance Agent v2, GPT-5.6 Sol column of Google's Gemini 3.8 Flash launch table."
